Samples	input	both_kept	fwd_only	rev_only	dropped	EquCab3.0	canFam6	human_GRch38	phix174	host	nonhost	komplexity
Paris.A	7376811	6992361	115323	30597	238530	342657	109038	121722	0	418247	6302613	399567
Paris.D	10132446	9671599	151794	40332	268721	148311	113699	121686	0	289652	9168646	292702
Particular.A	11924568	11382456	165424	48430	328258	421552	143038	171581	0	522968	10332032	752059
Particular.D	11499233	10956187	174556	54209	314281	465630	157229	145215	0	570394	10024464	535185
Poppi.A	17652440	16627208	225623	81306	718303	9430287	3052620	2871235	0	9589064	6508946	750335
Poppi.D	13755865	13232076	214889	56288	252612	177427	112769	129931	0	317672	12614389	417697
ReadyReward.A	8513507	8154504	86480	30986	241537	397099	161421	182929	0	506592	7404185	385403
ReadyReward.D	8672187	8343153	66233	45253	217548	362892	118327	130528	0	445906	7668048	365257
Shadow.A	17578283	16613522	397651	64468	502642	709109	230958	253118	0	863765	15153132	891602
Shadow.D	10855532	10379869	190164	43019	242480	369647	271414	237143	0	542354	9556132	383940
SirWinston.A	16443917	15852910	127264	68554	395189	715563	647388	603834	0	1105019	14232191	782740
SirWinston.D	10617302	10187891	118323	40658	270430	396606	113645	125768	0	477784	9363276	506781
SmartRistoKitten.A	5474034	5197904	61855	22720	191555	562967	344777	350557	0	690522	4248151	384132
SmartRistoKitten.D	2910869	2770997	43377	13318	83177	96378	39240	33132	0	123477	2554849	128687
SouvenirHanover.A	14150856	13636762	119426	87377	307291	626746	414268	406397	0	880056	11672100	1478108
SouvenirHanover.D	6304543	6063228	104648	28125	108542	171378	152379	122179	0	266811	5569003	320624
StPatricksDay.A	7995920	7739175	27235	95744	133766	268691	231038	198579	0	410244	7080601	385207
StPatricksDay.D	5916090	5670109	78877	23403	143701	144226	61840	63952	0	202770	5327739	198663
Starlight.A	1078678	1033878	15142	4566	25092	36045	14254	11517	0	44964	948680	58534
Starlight.D	1392130	1330484	16007	6916	38723	68879	61106	64701	0	107778	1192853	41305
